,food_class1
594,오징어채볶음
595,주꾸미볶음
596,주꾸미삼겹살
597,해물볶음
598,가자미조림
599,고추조림
600,동태조림
601,북어조림
602,조기조림
603,고구마맛탕
604,고구마튀김
605,고추튀김
606,김말이튀김
607,깐풍새우
608,라조기
609,미꾸라지튀김
610,복어튀김
611,북어강정
612,생선까스
613,양파링튀김
614,쥐포튀김
615,치킨가스
616,난자완스
617,깻잎나물볶음
618,머위나물무침
619,미나리나물
620,세발나물무침
621,우거지나물무침
622,취나물무침
623,노각무침
624,단무지무침
625,더덕무침
626,배추겉절이
627,밴댕이무침
628,상추겉절이
629,쑥갓나물무침
630,탕평채
631,홍어무침
632,갓김치
633,배추김치
634,백김치
635,열무김치
636,열무물김치
637,열무얼갈이김치
638,오이소박이
639,유채김치
640,유채물김치
641,총각김치
642,파김치
643,게장
644,명란젓
645,조개젓
646,고추장아찌
647,들깻잎장아찌
648,마늘장아찌
649,마늘쫑장아찌
650,무장아찌
651,밀크쉐이크
652,레몬청차
653,액상커피
654,팝콘
655,달걀
656,대구포
657,곤드레밥
658,넙치(광어)회덮밥
659,돌솥비빔밥
660,우럭회덮밥
661,율무밥
662,참치덮밥
663,참치회덮밥
664,콩나물국밥
665,흑미밥
666,강낭콩밥
667,검정콩밥
668,굴국밥
669,굴밥
670,김치볶음밥
671,낙지덮밥
672,낙지비빔밥
673,닭고기덮밥
674,돼지머리국밥
675,모듬김밥
676,모듬초밥
677,무밥
678,버섯덮밥
679,비빔잡곡밥
680,소고기국밥
681,양송이덮밥
682,열무비빔밥
683,오징어덮밥
684,옥수수밥
685,완두콩밥
686,유부초밥
687,육회비빔밥
688,장어덮밥
689,장어초밥
690,팥밥
691,해물덮밥
692,혼합잡곡밥
693,감자샐러드샌드위치
694,소고기샌드위치
695,토스트(식빵)
696,트위스터샌드위치
697,파운드케이크
698,햄샌드위치
699,비빔막국수
700,잔치국수
701,쟁반짜장
702,중식우동
703,해물칼국수
704,고기만두
705,군만두
706,김치만두
707,막국수
708,만두탕수
709,모밀국수
710,물냉면
711,물만두
712,미트스파게티
713,바지락수제비
714,볶음우동
715,비빔냉면
716,어묵우동
717,오븐스파게티
718,장국국수
719,쟁반국수
720,짜장면
721,짬뽕라면
722,치즈스파게티
723,해물스파게티
724,회냉면
725,굴죽
726,대합죽
727,땅콩죽
728,복죽
729,소고기감자죽
730,오리감자죽
731,잡곡죽
732,홍합미나리죽
733,홍합소고기죽
734,닭고기육개장
735,닭백숙
736,미역냉국
737,감자된장국
738,건새우미역국
739,고디국(다슬기맑은국)
740,근대된장국
741,김국
742,김치된장국
743,김치콩나물국
744,꼬리곰탕
745,낙지탕(맑은탕)
746,냉이된장국
747,다슬기된장국
748,닭고기미역국
749,두부달걀탕
750,두부된장국
751,두부국
752,메밀묵국
753,몸국
754,무된장국
755,무북어국
756,미역된장국
757,바지락된장국
758,바지락미역국
759,배추된장국
760,뼈다귀해장국
761,새우젓국
762,선지해장국
763,선짓국
764,소고기미역국
765,소고기국
766,시금치된장국
767,시래기된장국
768,쑥된장국
769,아욱된장국
770,어묵국
771,어묵국물
772,어묵탕
773,얼갈이된장국
774,올갱이해장국
775,조개미역국
776,조개탕
777,참치미역국
778,콩나물선짓국
779,콩나물황태국
780,해물된장국
781,호박된장국
782,홍합미역국
783,홍합국(홍합탕)
784,개고기전골
785,고추장찌개
786,내장전골
787,소고기샤브샤브
788,순대전골
789,아귀지리
790,가자미매운탕
791,감자소고기찌개
792,광어매운탕
793,국수전골
794,김치순두부
795,꽃게매운탕
796,대구매운탕
797,대구지리
798,대구탕
799,도루묵찌개
800,도미매운탕
